WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
2.003755987074718803e+00 2.022097093072809493e+00 2.011092429473955168e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.022097093072809493e+00 2.040438199070900183e+00 2.033101756671663818e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.040438199070900183e+00 2.058779305068990872e+00 2.047774641470136547e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.058779305068990872e+00 2.077120411067081562e+00 2.069783968667845198e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.077120411067081562e+00 2.095461517065172252e+00 2.084456853466317483e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.095461517065172252e+00 2.113802623063262942e+00 2.106466180664026577e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.113802623063262942e+00 2.132143729061353188e+00 2.121139065462498863e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.132143729061353188e+00 2.150484835059443878e+00 2.143148392660207513e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.150484835059443878e+00 2.168825941057534568e+00 2.157821277458680242e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.168825941057534568e+00 2.187167047055625257e+00 2.179830604656388893e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.187167047055625257e+00 2.201839931854097543e+00 2.194503489454861622e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.201839931854097543e+00 2.220181037852188233e+00 2.209176374253333908e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.220181037852188233e+00 2.238522143850278923e+00 2.231185701451042558e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.238522143850278923e+00 2.256863249848369612e+00 2.245858586249515287e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.256863249848369612e+00 2.275204355846460302e+00 2.267867913447223938e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.275204355846460302e+00 2.289877240644933032e+00 2.282540798245696667e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.289877240644933032e+00 2.308218346643023278e+00 2.297213683044168953e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.308218346643023278e+00 2.326559452641113968e+00 2.319223010241877603e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.326559452641113968e+00 2.341232337439586253e+00 2.333895895040350332e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.341232337439586253e+00 2.355905222238058982e+00 2.348568779838822618e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.355905222238058982e+00 2.374246328236149672e+00 2.363241664637295347e+00 1.025976084230172702e+01 1.000000000000000000e+00
2.374246328236149672e+00 2.392587434234240362e+00 2.385250991835003997e+00 1.024212348592425847e+01 1.000000000000000000e+00
