# WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
3.585510076067949026e+00 3.600450048959004334e+00 3.590490067031633981e+00 8.025865038141935415e+00 1.000000000000000000e+00
3.600450048959004334e+00 3.615390021850059199e+00 3.610410030886374244e+00 7.832795836550597635e+00 1.000000000000000000e+00
3.615390021850059199e+00 3.625350003777429553e+00 3.620370012813744598e+00 7.797502264142702977e+00 1.000000000000000000e+00
3.625350003777429553e+00 3.635309985704799463e+00 3.630329994741114508e+00 7.888846008744801352e+00 1.000000000000000000e+00
3.635309985704799463e+00 3.645269967632169816e+00 3.640289976668484417e+00 8.013418110176106168e+00 1.000000000000000000e+00
3.645269967632169816e+00 3.655229949559539726e+00 3.650249958595854771e+00 8.082444944513365925e+00 1.000000000000000000e+00
3.655229949559539726e+00 3.665189931486910080e+00 3.660209940523225125e+00 8.012160771160823813e+00 1.000000000000000000e+00
3.665189931486910080e+00 3.675149913414279990e+00 3.670169922450595035e+00 7.950642298962548260e+00 1.000000000000000000e+00
3.675149913414279990e+00 3.685109895341650343e+00 3.680129904377964944e+00 7.921880416783245948e+00 1.000000000000000000e+00
3.685109895341650343e+00 3.700049868232705208e+00 3.690089886305335298e+00 7.928954949701462418e+00 1.000000000000000000e+00
3.700049868232705208e+00 3.714989841123760517e+00 3.710009850160075562e+00 7.943692165266416971e+00 1.000000000000000000e+00
3.714989841123760517e+00 3.724949823051130871e+00 3.719969832087445472e+00 7.941453725767718907e+00 1.000000000000000000e+00
3.724949823051130871e+00 3.734909804978500780e+00 3.729929814014815825e+00 7.946416983532206046e+00 1.000000000000000000e+00
3.734909804978500780e+00 3.744869786905871134e+00 3.739889795942186179e+00 7.967692159556368559e+00 1.000000000000000000e+00
3.744869786905871134e+00 3.754829768833241044e+00 3.749849777869556089e+00 8.012953190562392081e+00 1.000000000000000000e+00
3.754829768833241044e+00 3.764789750760611398e+00 3.759809759796925999e+00 8.093980450687087824e+00 1.000000000000000000e+00
3.764789750760611398e+00 3.774749732687981307e+00 3.769769741724296352e+00 8.194018913140247662e+00 1.000000000000000000e+00
3.774749732687981307e+00 3.784709714615351661e+00 3.779729723651666706e+00 8.296519312611488672e+00 1.000000000000000000e+00
3.784709714615351661e+00 3.794669696542721571e+00 3.789689705579036616e+00 8.309769986065221659e+00 1.000000000000000000e+00
3.794669696542721571e+00 3.804629678470091925e+00 3.799649687506406526e+00 8.266785055371745017e+00 1.000000000000000000e+00
3.804629678470091925e+00 3.814589660397461834e+00 3.809609669433776880e+00 8.212647346845386664e+00 1.000000000000000000e+00
3.814589660397461834e+00 3.824549642324832188e+00 3.819569651361147233e+00 8.172849599788474251e+00 1.000000000000000000e+00
3.824549642324832188e+00 3.839489615215887497e+00 3.829529633288517143e+00 8.213924143245233012e+00 1.000000000000000000e+00
3.839489615215887497e+00 3.854429588106942361e+00 3.849449597143257407e+00 8.257137654885474021e+00 1.000000000000000000e+00
3.854429588106942361e+00 3.864389570034312715e+00 3.859409579070627760e+00 8.296470099026707956e+00 1.000000000000000000e+00
3.864389570034312715e+00 3.874349551961682625e+00 3.869369560997997670e+00 8.321288679069892780e+00 1.000000000000000000e+00
3.874349551961682625e+00 3.884309533889052979e+00 3.879329542925367580e+00 8.344094454063375466e+00 1.000000000000000000e+00
3.884309533889052979e+00 3.894269515816422889e+00 3.889289524852737934e+00 8.395869018839979603e+00 1.000000000000000000e+00
